Start-Airport-ID,End-Airport-ID,Distance
3861,3797,1901.4897105100436
3861,3697,1903.369925067016
3861,3473,562.0414922694137
3861,3858,1675.769333548071
4016,3682,575.0018377151544
3745,3682,1277.6344808415668
7018,3442,74.85823450193043
3676,3682,245.00371703827477
4356,3682,946.5496164660098
3517,3448,146.29017491665675
3517,5737,88.28909701185394
3517,4278,49.78405328242067
3517,4265,48.81969774954868
3864,3448,232.9883020957106
3864,3546,257.23714918789483
3864,3724,253.18358320505106
3701,3448,238.44803494916223
2900,2890,312.13564272725284
4025,3448,315.2354435952504
4021,7070,322.06544505484214
4021,5739,304.72563331506365
4021,3604,317.7894837849405
4021,7071,339.6695171969871
4021,7065,392.85606922093086
3448,3517,146.29017491665675
3448,3864,232.9883020957106
3448,3701,238.44803494916223
3448,4025,315.2354435952504
3448,4278,97.76186031730796
3448,5749,175.62731851445432
3448,4265,112.73704380134103
3448,6456,72.27249537055468
3448,4026,243.73904237018834
3448,5767,204.51459731108238
3448,5770,342.6425138052046
5728,3678,183.30105587761577
6814,2890,74.9248753039597
2903,2890,153.88150341523
2903,2883,46.96042827830266
5737,3517,88.28909701185394
5737,3589,239.30372436036538
5737,4265,42.466772151378066
7070,4021,322.06544505484214
5739,4021,304.72563331506365
3589,4278,293.7123230523923
3589,5749,307.030589787146
3589,4265,261.19559361030576
3604,4021,317.7894837849405
4278,3517,49.78405328242067
4278,3448,97.76186031730796
5744,3678,239.28142200758083
5749,3448,175.62731851445432
5749,3589,307.030589787146
2888,2890,122.73655089725149
3546,3864,257.23714918789483
4265,3517,48.81969774954868
4265,3448,112.73704380134103
4265,5737,42.466772151378066
4265,3589,261.19559361030576
6825,3678,162.13596190706104
6079,2890,386.3399937017487
3724,3864,253.18358320505106
7071,4021,339.6695171969871
5758,3678,301.3572913494718
6456,3448,72.27249537055468
4026,3448,243.73904237018834
5767,3448,204.51459731108238
7065,4021,392.85606922093086
2890,2900,312.13564272725284
2890,6814,74.9248753039597
2890,2903,153.88150341523
2890,2888,122.73655089725149
2890,6079,386.3399937017487
2890,2883,109.10658420527982
2890,2884,151.33447965738597
2890,6080,166.06486988944295
2890,6788,70.94621674941286
5770,3448,342.6425138052046
3678,5728,183.30105587761577
3678,5744,239.28142200758083
3678,6825,162.13596190706104
3678,5758,301.3572913494718
3678,3665,190.9175459508705
3678,5774,150.51376198345326
2883,2903,46.96042827830266
2883,2890,109.10658420527982
2883,2884,73.03073855283472
2884,2890,151.33447965738597
2884,2883,73.03073855283472
2884,6788,80.49015738037538
3665,3678,190.9175459508705
5774,3678,150.51376198345326
6080,2890,166.06486988944295
6788,2890,70.94621674941286
6788,2884,80.49015738037538
30,119,38.35102930963712
30,156,172.41766489496376
48,156,755.808625519366
48,180,373.3174744377455
49,99,631.1465328649361
49,7266,680.6039391857364
49,168,562.5065240546884
49,178,245.99409218724088
78,156,257.97083219274754
78,172,385.56881817883306
85,178,363.0957602823789
87,172,492.3444249388141
99,49,631.1465328649361
99,7266,130.90112884857115
7266,49,680.6039391857364
7266,99,130.90112884857115
119,30,38.35102930963712
119,156,135.85522654890613
127,156,428.7055825521064
127,162,98.66510562557784
156,30,172.41766489496376
156,48,755.808625519366
156,78,257.97083219274754
156,119,135.85522654890613
156,127,428.7055825521064
156,162,341.77164180399336
162,127,98.66510562557784
162,156,341.77164180399336
168,49,562.5065240546884
168,172,288.8512088126256
168,180,309.41734493674085
172,78,385.56881817883306
172,87,492.3444249388141
172,168,288.8512088126256
172,173,389.0063728709399
172,178,661.7843568721994
172,179,309.7542756449286
172,180,550.1042212400974
173,172,389.0063728709399
178,49,245.99409218724088
178,85,363.0957602823789
178,172,661.7843568721994
179,172,309.7542756449286
180,48,373.3174744377455
180,168,309.41734493674085
180,172,550.1042212400974
8227,1957,6785.797988563242
1957,8227,6785.797988563242
1957,1852,416.8788392519686
1957,4024,179.50378489648378
1957,1819,403.5089873944226
1957,1774,233.52504199788896
1957,1772,235.6035941877509
1852,1957,416.8788392519686
4024,1957,179.50378489648378
1819,1957,403.5089873944226
1774,1957,233.52504199788896
1772,1957,235.6035941877509
5807,1754,121.78484586699439
5807,5809,13.762157981129802
1754,5807,121.78484586699439
5809,5807,13.762157981129802
6740,2750,401.5485935855427
2749,2743,94.10635633678807
2726,2709,447.504515551494
2726,2729,216.21792596367987
2752,2709,459.9248940288538
2709,2726,447.504515551494
2709,2752,459.9248940288538
2709,2712,330.14136186901294
2709,2717,530.0641083062034
2709,2729,232.5131298293464
2709,2719,380.1792298043297
2709,2725,579.2177855285508
2709,2732,579.4291923755458
2709,2738,754.7349149272658
2709,6054,698.3885574998375
2709,2742,506.920116356998
2709,2706,534.8508155867947
2709,7355,356.0294820011625
2709,2747,289.22632842401237
2709,2750,291.69894875452184
2709,2751,328.0219014877837
2709,2753,297.30442595658974
2709,7359,495.8799400396861
2709,2756,83.7550552961482
2711,2729,199.4404957306447
2712,2709,330.14136186901294
2715,2722,200.20008423720455
2715,2706,338.0688408289571
2715,2753,240.52250598771775
2717,2709,530.0641083062034
2729,2726,216.21792596367987
2729,2709,232.5131298293464
2729,2711,199.4404957306447
2729,6053,195.78178830160942
2729,2753,130.2729531138798
2719,2709,380.1792298043297
2722,2715,200.20008423720455
2725,2709,579.2177855285508
2728,6052,321.114298969705
6052,2728,321.114298969705
6051,2706,206.99898978893555
2732,2709,579.4291923755458
2732,2756,495.8883669626577
6053,2729,195.78178830160942
2738,2709,754.7349149272658
2738,2756,713.9050222140759
6054,2709,698.3885574998375
6054,2756,634.0639383895585
2742,2709,506.920116356998
2706,2709,534.8508155867947
2706,2715,338.0688408289571
2706,6051,206.99898978893555
2743,2749,94.10635633678807
7355,2709,356.0294820011625
7355,2751,56.703556855741006
2747,2709,289.22632842401237
2750,6740,401.5485935855427
2750,2709,291.69894875452184
2751,2709,328.0219014877837
2751,7355,56.703556855741006
2753,2709,297.30442595658974
2753,2715,240.52250598771775
2753,2729,130.2729531138798
7359,2709,495.8799400396861
2756,2709,83.7550552961482
2756,2732,495.8883669626577
2756,2738,713.9050222140759
2756,6054,634.0639383895585
2965,1735,945.5339508364658
3941,1735,1079.721933608314
1538,1735,1391.7905700671777
1367,1735,1996.9117212490664
4029,1735,1129.7988636047385
599,1735,2579.266993834622
1555,1735,1440.5419836931524
340,1735,1534.753919120729
1701,1735,661.764355205753
2939,1735,406.4232200140028
1735,2965,945.5339508364658
1735,3941,1079.721933608314
1735,1538,1391.7905700671777
1735,1367,1996.9117212490664
1735,4029,1129.7988636047385
1735,599,2579.266993834622
1735,1555,1440.5419836931524
1735,340,1534.753919120729
1735,1701,661.764355205753
1735,2939,406.4232200140028
1735,1197,1396.361746125264
1735,2948,1434.0180119405013
1735,1638,3197.6013700382587
1735,1524,1554.9684319162006
1735,1657,342.6303455988091
1735,2974,3223.323682714749
1735,548,2132.793171848614
1735,1551,1282.9103638401907
1735,1550,1396.8200355051645
1197,1735,1396.361746125264
2948,1735,1434.0180119405013
